id,num_origin,nu
G065E61003000220,100,100
G007061002000510,100,100
G030N61001001220,100,100
G065W61002000720,100,100
G030N61001000610,100,100
G691161001001120,100,100
G008561003001010,100,100
G002261001002110,100,100
G000561003000620,100,100
G007061006001310,100,100
S003061001001020,100,100
G000561001001910,100,100
G701161002000310,100,100
G300161001001810,100,100
G030N61002000320,100,100
G008561001000810,100,100
G181261003001510,100,100
G065E61005001310,100,100
G006561009000510,100,100
G000561007000120,100,100
G007061002001210,100,100
G007061005001510,100,100
G351161001000410,100,100
G003061001000310,100,100
G006561003000910,100,100
S003061001001120,100,100
G006561006000810,100,100
G065E61006001320,100,100
G065E61002000310,100,100
S000161001000220,100,100
G000561003000820,100,100
G065W61002000310,100,100
G003061003001920,100,100
G351161003000920,100,100
G008561002000920,100,100
G006561002000510,100,100
G003061003001420,100,100
G003061003002020,100,100
G065E61005000320,100,100
G065E61001001710,100,100
G006561009001610,100,100
G003061001002320,100,100
G181261001000810,100,100
G006561001000910,100,100
G221161001000210,100,100
G002061002000510,100,100
G221161001000520,100,100
G007061005000710,100,100
G006961001001710,100,100
G006561006001010,100,100
G065E61006000210,100,100
G006561009000720,100,100
G006561006000210,100,100
G065E61002000410,100,100
G006561004000710,100,100
G003061003002120,100,100
G181261003001320,100,100
G007061001001020,100,100
G006561013000210,100,100
G701161001002420,100,100
G300161001001210,100,100
G003061006000320,100,100
G030N61002001620,100,100
G000561005001210,100,100
G030N61001000220,100,100
G003061006000710,100,100
G300161001000920,100,100
G003061003002710,100,100
G003061006001110,100,100
G008561003000620,100,100
G006561013001220,100,100
G007061003000310,100,100
G300161001000910,100,100
G701161002002120,100,100
G007061002000610,100,100
G006561009000910,100,100
G007061003000210,100,100
G002261001002220,100,100
G065E61004001220,100,100
G065W61001000520,100,100
G002261001000620,100,100
G300161001003120,100,100
G003061003002720,100,100
S001461001000420,100,100
G000561005001010,100,100
G002061002000520,100,100
G002261001001420,100,100
G003061002000310,100,100
G181261003001520,100,100
S003061001000620,100,100
G003061006000620,100,100
S003261001001110,100,100
G300161001002910,100,100
G006961001001010,100,100
S003261001000820,100,100
G004061001001210,100,100
G000561005000410,100,100
G000561004000420,100,100
G000561001002020,100,100
G065W61003001220,100,100
G006561002000610,100,100
G002061003000220,100,100
S002761001000110,100,100
G003061003002510,100,100
G181261003000420,100,100
S002161001000510,100,100
G030N61001002020,100,100
G000561001001210,100,100
G065E61005000610,100,100
G000561001001810,100,100
G002261001002120,100,100
G181261001000320,100,100
G065E61004001010,100,100
G351161002002310,100,100
G000561005001520,100,100
G065W61003000910,100,100
G065E61002000920,100,100
S002861001000210,100,100
G000561003000310,100,100
G006561006000110,100,100
G006561005000120,100,100
G065E61006000610,100,100
G701161001002310,100,100
G003061005000420,100,100
G030N61001002510,100,100
G006561011000920,100,100
G181261003001620,100,100
G030N61001002320,100,100
G000561001001510,100,100
G701161001002520,100,100
G004061002000110,100,100
G006961002000510,100,100
G000561003000920,100,100
G003061001000410,100,100
G000561005001420,100,100
G701161001001410,100,100
G701161002000820,100,100
G007061006001220,100,100
S000161001000210,100,100
G065E61002000120,100,100
G030N61001001210,100,100
G701161002002510,100,100
G007061002000120,100,100
G006561005000220,100,100
G006561008000520,100,100
G004061001000610,100,100
G221161001000710,100,100
S002161001000810,100,100
G000561001000220,100,100
G701161001000920,100,100
G002061001000310,100,100
G000561003000120,100,100
G065W61001000410,100,100
G300161001002820,100,100
G065W61004000920,100,100
G006561008001320,100,100
G000561001001820,100,100
G006561012000110,100,100
G065E61001000710,100,100
G065W61003000120,100,100
G300161001002720,100,100
G004061002001120,100,100
G701161001003220,100,100
G002061003001120,100,100
G006561011000120,100,100
G030N61002001610,100,100
G000561001001010,100,100
G006561001000410,100,100
G004061002001910,100,100
G065E61006000520,100,100
G006561009001310,100,100
G002061003000920,100,100
G065E61001000320,100,100
G007061004000310,100,100
