id,speed_origin,speed
G351161002000910_1.0,48.3,48.3
G701161001000810_1.0,37.1,37.1
G351161002001020_1.0,46.8,46.8
G351161002000920_1.0,153.3,50
G065E61004000610_1.0,46.9,46.9
G065E61004000710_1.0,52.8,50
G065E61004000810_1.0,48.9,48.9
G300161001000910_1.0,50.2,50
G002261001001020_1.0,53.6,50
G000561001000310_1.0,54.9,50
G000561001000220_1.0,29.2,29.2
G002261001002420_1.0,60.3,50
G065E61006000610_1.0,55.5,50
G065E61006000710_1.0,55.1,50
G065E61006000810_1.0,56.2,50
G221161001000320_1.0,48.1,48.1
G065E61006000110_1.0,48.6,48.6
G065E61006000210_1.0,47.3,47.3
G065E61006000310_1.0,56,50
G065E61006000510_1.0,55.4,50
S002861001000320_1.0,174.1,50
S003061001000310_1.0,56.8,50
G002261001002310_1.0,37.5,37.5
G002261001000410_1.0,55.1,50
G065E61005000110_1.0,52,50
G351161002000620_1.0,56.1,50
G006561008000210_1.0,49.2,49.2
G300161001001310_1.0,51.3,50
G421361001000510_1.0,54,50
G691161001000220_1.0,32.6,32.6
G691161001000310_1.0,22,22
